FC_N,T_BSM-WOWC-HIRLAM,H_BSM-WOWC-HIRLAM,L_BSM-WOWC-HIRLAM,R_BSM-WOWC-HIRLAM,T_BALTP-90M-GFS,H_BALTP-90M-GFS,L_BALTP-90M-GFS,R_BALTP-90M-GFS,T_HIROMB,H_HIROMB,L_HIROMB,R_HIROMB,T_M,H_M,L_M,R_M
28,48,217,12,10,NaN,NaN,NaN,NaN,48,182.4,12,12,48,180.9,11,4
29,42,226,12,12,NaN,NaN,NaN,NaN,42,184.4,11,12,42,180.9,11,4
30,36,228,11,15,NaN,NaN,NaN,NaN,37,173.1,12,12,36,180.9,11,4
31,30,193,12,6,28,155.316,10,20,NaN,NaN,NaN,NaN,30,180.9,11,4
32,25,244,12,4,NaN,NaN,NaN,NaN,24,175.9,11,13,24,180.9,11,4
33,18,214,12,5,NaN,NaN,NaN,NaN,17,170.1,10,13,18,180.9,11,4
34,12,193,11,12,NaN,NaN,NaN,NaN,11,162.9,10,13,12,180.9,11,4
35,6,203,6,4,NaN,NaN,NaN,NaN,5,160.7,5,13,6,180.9,6,4
36,0,185,NaN,12,NaN,NaN,NaN,NaN,0,160.5,NaN,12,0,180.9,NaN,10
102,NaN,NaN,NaN,NaN,59,158.5568,16,1,NaN,NaN,NaN,NaN,59,151.3,15,1
103,NaN,NaN,NaN,NaN,53,152.2944,19,7,NaN,NaN,NaN,NaN,53,151.3,15,7
104,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,47,151.3,15,13
105,42,158,15,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,41,151.3,15,19
106,37,176,16,13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35,151.3,15,19
107,30,170,15,14,30,163.0008,18,18,NaN,NaN,NaN,NaN,29,151.3,15,19
108,25,153,17,13,25,158.2024,20,16,NaN,NaN,NaN,NaN,23,151.3,15,19
109,19,152,16,17,19,152.3432,19,17,NaN,NaN,NaN,NaN,17,151.3,15,19
110,11,155,11,14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11,151.3,11,19
111,6,156,6,14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,151.3,5,19
112,2,154,2,13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,150.5,NaN,18
204,60,170,14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,150.7,11,NaN
205,57,165,16,3,60,170.8808,22,NaN,NaN,NaN,NaN,NaN,58,183.9,15,2
206,50,191,15,10,55,184.4416,23,5,NaN,NaN,NaN,NaN,52,183.9,15,8
207,44,190,15,16,50,172.1648,24,10,NaN,NaN,NaN,NaN,46,183.9,15,14
208,39,216,17,17,42,186.8968,22,14,40,154.5,17,18,40,183.9,15,16
209,33,214,17,17,35,205.3392,21,16,36,166.3,19,16,34,183.9,15,16
210,28,206,15,15,30,196.3424,23,15,29,166.5,17,16,28,183.9,15,16
211,22,208,17,15,24,184.8336,23,14,23,167.6,17,16,22,183.9,15,16
212,17,218,17,15,19,176.6944,19,14,17,176.3,17,16,16,183.9,15,16
213,9,234,9,16,12,191.2952,12,15,10,189,10,17,10,183.9,10,16
214,3,232,3,16,6,191.6176,6,15,5,197.7,5,16,4,183.9,4,16
215,0,178,NaN,13,0,180.8192,NaN,14,0,189.3,NaN,14,0,177.5,NaN,14
